rotation in degrees,displacement in mm,Force in MilliNewtons,Fit spring constant in Newtons per Meter,Raw spring constant in Newtons per Meter,Spring Potential Energy in Joules,Fit Torque in Nmm
89.0163,15.554,990.542555384621,696.946711399872,677.37713272053,NaN,-31.0522615384615
89.0163,20.67,3584.05700153846,1773.34351222435,1834.93948303716,NaN,-21.2841538461539
89.0163,25.7892,6196.94170538461,1836.6727081152,1946.77733139723,NaN,-12.3464615384616
89.0163,30.9065,8958.9701423077,1665.0894310307,1954.97846998064,NaN,-4.02883846153846
89.0163,36.0216,11929.0491253846,1203.76493030365,1881.78289218851,NaN,3.45324615384614
89.0163,41.1397,15109.2464746154,503.052742965407,1280.40902632004,NaN,9.98669230769229
89.0163,46.2583,18589.4060861538,449.641787923383,883.015020974497,NaN,15.5356153846154
89.0163,51.3765,22184.73229,346.905123870673,578.89709349265,NaN,20.4678615384616
79.0254,0.2343,-4873.87103384616,-427.321826093776,-909.99534131349,NaN,-56.4346230769231
79.0254,5.3194,-2580.55622615385,29.6072538415774,-82.7146223369917,NaN,-44.6983692307692
79.0254,10.437,-363.065960769229,583.463542099513,419.782628350016,NaN,-34.6832307692308
79.0254,15.5543,1717.39427846154,748.192225762632,758.233376351025,NaN,-24.9554692307692
79.0254,20.6738,4379.30494153847,1855.70032448669,1968.86870759289,NaN,-16.1448461538461
79.0254,25.7899,6995.26588846155,1617.08772198231,1837.36558567279,NaN,-7.96349230769229
79.0254,30.9063,9696.16904615383,1704.39936891196,2140.11165079878,NaN,-0.608269230769242
79.0254,36.025,12592.2402607692,1307.06415785936,1858.41703775412,NaN,6.13162307692304
79.0254,41.1407,15715.7247984616,707.493117921941,1455.72310673342,NaN,11.8081307692308
79.0254,46.2557,19132.7856507692,715.747143100848,1274.72673011776,NaN,16.9777846153846
79.0254,51.3754,22654.17143,190.715137382311,521.224903100778,NaN,21.3318538461538
69.0345,0.2346,-4290.57977692308,-812.072739235937,-1203.41575287078,NaN,-48.9223230769231
69.0345,5.3227,-1887.92039923077,-262.857442947257,-297.774661071659,NaN,-38.0778615384615
69.0345,10.4416,223.94622153846,542.561914728276,472.202146892655,NaN,-28.5126923076923
69.0345,15.5599,2425.71559538462,803.309453813092,780.371306451614,NaN,-19.8635538461538
69.0345,20.6782,4963.3843353846,1852.14925883749,1836.17201938611,NaN,-11.8911461538462
69.0345,25.7992,7576.56225769232,1459.4623614941,1711.31404612159,NaN,-4.47357692307692
69.0345,30.9157,10385.9777453846,1976.85145375024,2339.76767790867,NaN,2.32450000000001
69.0345,36.0321,13217.5155792308,1494.41062632181,1993.33167661771,NaN,8.21229230769232
69.0345,41.1479,16252.7950730769,664.153155055223,1381.61737445502,NaN,13.4179076923077
69.0345,46.2656,19710.6621076923,788.376099175685,1441.53895789643,NaN,18.0142153846154
69.0345,51.3863,23105.1177984615,85.438701370771,486.327689822295,NaN,21.8671846153846
59.0436,0.2345,-3803.30623076923,-986.222442527409,-1216.58080840744,NaN,-42.3250384615385
59.0436,5.322,-1504.22161384615,-171.957591092006,-207.983750201711,NaN,-32.3335384615385
59.0436,10.4409,627.655703846154,527.154579597674,450.781614205004,NaN,-23.5025923076923
59.0436,15.5584,2818.20721,516.95877466035,547.346758064517,NaN,-15.3965769230769
59.0436,20.6783,5455.73564846154,1417.04458179483,1411.61899531578,NaN,-8.17743076923077
59.0436,25.7966,8041.20632230771,1741.84973677098,1801.92515327526,NaN,-1.4350923076923
59.0436,30.9116,10770.4385615385,1893.96162513208,2110.12254316604,NaN,4.59996153846153
59.0436,36.0312,13619.6896469231,1296.64850430458,1705.66473624778,NaN,9.96637692307691
59.0436,41.1461,16622.4294807692,617.908835458469,1235.15683836589,NaN,14.6374076923077
59.0436,46.2628,19968.2174084615,1081.57782014251,1722.64959677418,NaN,18.7256769230769
59.0436,51.3788,23368.3345507692,581.604767002188,1178.76117571059,NaN,22.1945461538462
49.0536,0.2345,-3306.18436461539,-604.240101914464,-365.023706338939,NaN,-35.9672692307692
49.0536,5.3201,-1198.62894769231,-160.881094435696,-172.258770372761,NaN,-26.6542615384615
49.0536,10.4385,905.897525384616,411.930597075438,382.529841833441,NaN,-18.6946769230769
49.0536,15.5586,3273.50095692308,692.951202580143,691.006645161291,NaN,-11.3129076923077
